col1,col2,modifier_indicator
00102,99449,0
00102,99451,0
00102,99452,0
00102,99466,0
00102,99468,0
00102,99468,0
00102,99469,0
00102,99469,0
00102,99471,0
00102,99471,0
00102,99472,0
00102,99472,0
00102,99475,0
00102,99475,0
00102,99476,0
00102,99476,0
00102,99477,0
00102,99477,0
00102,99478,0
00102,99478,0
00102,99479,0
00102,99479,0
00102,99480,0
00102,99480,0
00102,99483,0
00102,99483,0
00102,99485,0
00102,99497,0
00102,99497,0
00102,99497,0
00103,01995,0
00103,01996,1
00103,31505,1
00103,31515,1
00103,31527,1
00103,31622,1
00103,31634,1
00103,31645,1
00103,31647,1
00103,31652,0
00103,31653,0
00103,36000,1
00103,36005,1
00103,36010,0
00103,36011,1
00103,36012,1
00103,36013,1
00103,36014,1
00103,36015,1
00103,36400,1
00103,36405,1
00103,36406,1
00103,36410,1
00103,36420,1
00103,36425,1
00103,36430,1
00103,36440,1
00103,36591,0
00103,36592,0
00103,36600,1
00103,36640,1
00103,43752,1
00103,43753,1
00103,43754,1
00103,61026,1
00103,61055,1
00103,62274,1
00103,62275,1
00103,62276,1
00103,62277,1
00103,62278,1
00103,62279,1
00103,62280,1
00103,62281,1
00103,62282,1
00103,62284,1
00103,62310,1
00103,62311,1
00103,62318,1
00103,62319,1
00103,62320,1
00103,62321,1
00103,62322,1
00103,62323,1
00103,62324,1
00103,62325,1
00103,62326,1
00103,62327,1
00103,64400,1
00103,64402,1
00103,64405,1
00103,64408,1
00103,64410,1
00103,64412,1
00103,64413,1
00103,64415,1
00103,64416,1
00103,64417,1
00103,64418,1
00103,64420,1
00103,64421,1
00103,64425,1
00103,64430,1
00103,64435,1
00103,64440,1
00103,64441,1
00103,64442,1
00103,64443,0
00103,64445,1
00103,64446,1
00103,64447,1
00103,64448,1
00103,64449,1
00103,64450,1
00103,64451,1
00103,64454,1
00103,64461,1
00103,64463,1
00103,64466,1
00103,64467,1
00103,64468,1
00103,64469,1
00103,64470,1
00103,64473,1
00103,64474,1
00103,64475,1
00103,64479,1
00103,64483,1
00103,64486,1
00103,64487,1
00103,64488,1
00103,64489,1
00103,64490,1
00103,64493,1
00103,64505,1
00103,64508,1
00103,64510,1
00103,64517,1
00103,64520,1
00103,64530,1
00103,64550,1
00103,64553,1
00103,64555,1
00103,64560,1
00103,64565,1
00103,67500,1
00103,69705,1
00103,69706,1
00103,76000,1
00103,76001,1
00103,76970,1
00103,76986,0
00103,76998,0
00103,77002,0
00103,80002,1
00103,80003,1
00103,80004,1
00103,80005,1
00103,80006,1
00103,80007,1
00103,80008,1
00103,80009,1
00103,80010,1
00103,80011,1
00103,80012,1
00103,80016,1
00103,80018,1
00103,80019,1
00103,80050,1
00103,80055,1
00103,80058,0
00103,80059,0
00103,80061,0
00103,80072,0
00103,80090,0
00103,80091,0
00103,80092,0
00103,80150,0
00103,80152,0
00103,80154,0
00103,80156,0
00103,80158,0
00103,80160,0
00103,80162,0
00103,80164,0
00103,80166,0
00103,80168,0
